时间点,PTC10,PTC11
0,23.402952,23.402952
1,24.003473,24.10356
2,24.603996,24.704082
3,25.304605,25.304604
4,26.005213,26.1053
5,26.705822,26.80591
6,27.50652,27.606606
7,28.207129,28.307215
8,29.007824,29.10791
9,29.80852,29.908606
10,31.109652,31.209738
11,32.510868,32.71104
12,34.11226,34.312435
13,35.81374,36.013912
14,37.715393,37.915565
15,39.617046,39.81722
16,41.618786,41.81896
17,43.72061,43.920788
18,45.922527,46.1227
19,48.22453,48.4247
20,50.42644,50.726704
21,52.82853,53.0287
22,55.13053,55.330704
23,57.632706,57.83288
24,59.934708,60.234966
25,62.436882,62.637054
26,64.93906,65.13923
27,67.44123,67.6414
28,69.84332,70.043495
29,72.3455,72.54567
30,74.84767,75.047844
31,77.44993,77.65011
32,80.05219,80.15228
33,82.55437,82.75454
34,85.256714,85.356804
35,87.758896,87.95907
36,90.36115,90.46124
37,92.96342,93.06351
38,95.56568,95.665764
39,98.16794,98.26803
40,100.7702,100.87029
41,103.57264,103.67272
42,106.174904,106.27499
43,108.87725,108.87725
44,111.5796,111.67969
45,114.18186,114.18186
46,116.78413,116.78412
47,119.48647,119.38638
48,122.08873,122.08873
49,124.791084,124.791084
50,127.49343,127.49343
51,130.19579,130.09569
52,132.89813,132.69795
53,135.5004,135.30022
54,138.10266,138.00256
55,140.80501,140.70491
56,143.60744,143.40726
57,146.30978,146.10962
58,149.01213,148.71187
59,151.7145,151.41423
60,154.41684,154.11658
61,157.31935,156.919
62,160.02171,159.62135
63,162.72406,162.22362
64,165.52649,165.02606
65,168.32893,167.72841
66,170.63094,169.93031
67,172.4325,171.73189
68,174.03389,173.33328
69,175.33502,174.63441
70,176.43597,175.73537
71,177.33676,176.63615
72,178.13745,177.43684
73,178.73798,178.23753
74,179.3385,178.83806
75,179.83893,179.3385
76,180.23927,179.73885
77,180.63963,180.23927
78,180.9399,180.53954
79,181.24016,180.8398
80,181.44032,181.03998
81,181.6405,181.34024
82,181.74059,181.44032
83,181.84067,181.5404
84,181.94077,181.6405
85,182.04085,181.84067
86,182.14093,181.94077
87,182.24103,182.04085
88,182.24103,182.04085
89,182.34111,182.14093
90,182.34111,182.14093
91,182.34111,182.14093
92,182.34111,182.14093
93,182.34111,182.24103
94,182.34111,182.24103
95,182.34111,182.24103
96,182.34111,182.24103
97,182.34111,182.24103
98,182.34111,182.24103
99,182.34111,182.24103
100,182.34111,182.24103
101,182.34111,182.24103
102,182.24103,182.24103
103,182.24103,182.24103
104,182.24103,182.14093
105,182.24103,182.14093
106,182.24103,182.14093
107,182.24103,182.24103
108,182.24103,182.14093
109,182.24103,182.14093
110,182.24103,182.14093
111,182.14093,182.04085
112,182.14093,182.04085
113,182.14093,182.04085
114,182.14093,182.04085
115,182.04085,182.04085
116,182.04085,182.04085
117,182.14093,182.04085
118,182.04085,181.94077
119,182.04085,181.94077
120,182.04085,181.94077
121,181.94077,181.94077
122,182.04085,181.94077
123,182.04085,181.94077
124,181.94077,181.94077
125,181.84067,181.84067
126,181.94077,181.84067
127,181.94077,181.94077
128,181.94077,181.94077
129,181.94077,181.94077
130,181.94077,181.94077
131,181.84067,181.84067
132,181.84067,181.84067
133,181.84067,181.84067
134,181.94077,181.84067
135,181.84067,181.84067
136,181.94077,181.84067
137,181.84067,181.84067
138,181.74059,181.74059
139,181.74059,181.74059
140,181.74059,181.74059
141,181.84067,181.74059
142,181.84067,181.84067
143,181.84067,181.74059
144,181.84067,181.74059
145,181.74059,181.74059
146,181.74059,181.74059
147,181.74059,181.74059
148,181.74059,181.74059
149,181.74059,181.74059
150,181.74059,181.6405
151,181.74059,181.74059
152,181.74059,181.6405
153,181.6405,181.6405
154,181.74059,181.74059
155,181.6405,181.6405
156,181.6405,181.6405
157,181.6405,181.6405
158,181.74059,181.74059
159,181.74059,181.74059
160,181.74059,181.74059
161,181.74059,181.74059
162,181.74059,181.74059
163,181.74059,181.74059
164,181.74059,181.74059
165,181.74059,181.74059
166,181.74059,181.74059
167,181.6405,181.6405
168,181.6405,181.6405
169,181.6405,181.6405
170,181.6405,181.6405
171,181.6405,181.6405
172,181.6405,181.6405
173,181.6405,181.6405
174,181.6405,181.6405
175,181.5404,181.5404
176,181.5404,181.5404
177,181.6405,181.6405
178,181.6405,181.6405
179,181.6405,181.6405
180,181.5404,181.5404
181,181.5404,181.5404
182,181.6405,181.6405
183,181.6405,181.6405
184,181.6405,181.6405
185,181.6405,181.6405
186,181.5404,181.5404
187,181.5404,181.5404
188,181.5404,181.5404
189,181.6405,181.6405
190,181.6405,181.6405
191,181.6405,181.6405
192,181.5404,181.5404
193,181.5404,181.5404
194,181.5404,181.5404
195,181.6405,181.6405
196,181.6405,181.6405
197,181.5404,181.5404
198,181.5404,181.5404
199,181.44032,181.44032
200,181.14006,181.14006
201,181.03998,181.03998
202,180.8398,180.8398
203,180.63963,180.63963
204,180.33937,180.33937
205,180.13919,180.13919
206,179.93903,179.93903
207,179.73885,179.63876
208,179.43858,179.43858
209,179.2384,179.2384
210,179.03824,178.93816
211,178.83806,178.73798
212,178.5378,178.5378
213,178.33763,178.33763
214,178.13745,178.13745
215,177.93729,177.93729
216,177.7371,177.7371
217,177.53693,177.53693
218,177.33676,177.33676
219,177.13658,177.13658
220,176.93642,176.93642
221,176.73624,176.73624
222,176.43597,176.43597
223,176.2358,176.2358
224,176.03563,176.03563
225,175.83545,175.83545
226,175.73537,175.63528
227,175.4351,175.53519
228,175.23492,175.23492
229,175.03476,175.03476
230,174.83458,174.83458
231,174.7345,174.7345
232,174.53432,174.53432
233,174.33415,174.33415
234,174.03389,174.03389
235,173.83371,173.93379
236,173.73363,173.73363
237,173.53345,173.53345
238,173.33328,173.33328
239,173.1331,173.1331
240,172.93292,172.93292
241,172.73276,172.73276
242,172.63268,172.63268
243,172.4325,172.4325
244,172.23232,172.23232
245,172.03215,172.13223
246,171.83197,171.83197
247,171.6318,171.6318
248,171.53171,171.53171
249,171.33154,171.33154
250,171.23145,171.23145
251,171.03128,171.03128
252,170.8311,170.8311
253,170.63094,170.63094
254,170.53084,170.53084
255,170.33067,170.33067
256,170.1305,170.23058
257,169.93031,170.03041
258,168.5291,168.32893
259,165.02606,164.92596
260,161.6231,161.6231
261,158.12006,158.12006
262,154.31674,154.31674
263,150.41336,150.51344
264,146.61005,146.61005
265,142.80675,142.80675
266,139.00343,139.00343
267,135.4003,135.4003
268,131.79718,131.89726
269,128.39421,128.49431
270,125.19143,125.19143
271,121.98865,122.08873
272,119.08612,119.08612
273,116.1836,116.28368
274,113.481255,113.58134
275,110.87899,110.97907
276,108.376816,108.4769
277,106.074814,106.074814
278,103.77281,103.8729
279,101.67098,101.77107
280,99.56916,99.66924
281,97.56742,97.6675
282,95.765854,95.765854
283,93.96429,93.96429
284,92.16272,92.26281
285,90.561325,90.661415
286,88.95994,89.06002
287,87.35854,87.45863
288,85.85724,85.95733
289,84.456024,84.55611
290,83.15489,83.15489
291,81.75367,81.85376
292,80.452545,80.55263
293,79.15141,79.251495
294,77.95036,78.05045
295,76.74932,76.84941
296,75.64837,75.64837
297,74.44732,74.54741
298,73.34637,73.44645
299,72.24541,72.3455
300,71.24454,71.24454
301,70.24367,70.24367
302,69.2428,69.34289
303,68.34202,68.4421
304,67.44123,67.44123
305,66.44036,66.54045
306,65.63966,65.73975
307,64.83897,64.83897
308,64.03828,64.13836
309,63.23758,63.337666
310,62.436882,62.53697
311,61.73627,61.83636
312,61.035664,61.13575
313,60.335056,60.435143
314,59.73453,59.73453
315,59.033924,59.13401
316,58.333313,58.433403
317,57.53262,57.632706
318,56.731922,56.731922
319,55.931225,56.031315
320,55.230618,55.330704
321,54.53001,54.630096
322,53.929485,53.929485
323,53.328964,53.328964
324,52.82853,52.82853
325,52.328094,52.42818
326,51.927746,51.927746
327,51.527397,51.627483
